username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Kyle Cheney,23578274,2020-01-03 17:42:52,JUST IN: Judge allows PARNAS to begin sharing documents and contents of iPhone -- initially seized by law enforceme... https://t.co/9IJLXMD1Sz,6560,None,89688,956,0.0,0.0
Adam Parkhomenko,18382184,2020-01-03 21:07:34,Can't imagine there is anything interesting in Lev Parnas' iPhone https://t.co/9bTzwCT27m,1286,None,337115,92194,0.5,0.5
Randi Mayem Singer,372563164,2020-01-04 02:45:31,Why does the Queen always carry a purse? What kind of Queen stuff is in there: Car keys? A wallet? Her iPhone? She'... https://t.co/gRrbaduqCI,439,None,88171,793,0.6,0.9
POLITICO,9300262,2020-01-03 20:30:06,"A federal judge today authorized Giuliani associate Lev Parnas to begin providing the Intel Committee materials, in... https://t.co/IoN7m5Pxrv",903,None,4012150,1490,0.0,0.0
Tommy Vietor,155784594,2020-01-04 16:35:07,"When Trump wanted to gloat about a failed Iranian missile launch, he tweeted an iPhone photo of a classified satell... https://t.co/c1UUj5kCpc",540,None,464780,1724,-0.5,0.3
HIDEO_KOJIMA,117652722,2020-01-05 00:57:32,"Found in my iPhone, the sketch by Yoji Shinkawa from early days of DS concept period. At that time there was no wri... https://t.co/L8C1H52685",574,None,2874273,166,0.1,0.3
Vala Afshar,259725229,2020-01-03 22:01:03,"In 10 years,replaced:

 [?]    
[?]     
     
[?]    [?][?] 
 [?]    
     
 [?]  [?]  
... https://t.co/92l1fcVmJe",289,None,430439,300,0.0,0.0
Complex Music,243163874,2020-01-03 16:26:33,"DaBaby remains in jail after being charged with battery.

He reportedly took $80, a credit card and an iPhone from... https://t.co/p3fTuygUp8",196,None,1009681,969,-0.1,0.0
Bria Celest,2797087932,2020-01-04 18:41:50,"I wrote this For anyone wanting to improve their iPhone photography, you don't need the fanciest gear to take amazi... https://t.co/ok1afjattY",224,None,80561,5520,0.0,0.0
Tech Insider,3224616765,2020-01-04 15:44:00,"The iPhone can do a lot of things, but many of its best features are buried in various menus you may not even know... https://t.co/dPuZA5L3ti",202,None,283433,424,0.5,0.43333333333333335
"Dennis Itumbi, HSC",68382599,2020-01-04 06:00:49,"Obviously Fake.

1. DP @WilliamsRuto tweets using Android not IPhone

2. All parties signed a sunrise clause of 10... https://t.co/mtso8NBd4N",98,None,878484,6026,-0.5,1.0
Daniel Cuthbert,14461330,2020-01-04 09:06:20,"I requested all the data Apple had one me since the dawn of time, which goes back to 2008 with my original iPhone 1... https://t.co/zjfxy2MqAj",83,None,15125,1728,0.1875,0.375
Ruth Wynn-Williams,227128956,2020-01-05 00:34:03,BEGA: pic taken on iPhone using the 'National Crisis' filter... by that I mean no filter just so much smoke and ash... https://t.co/O4lTlMeeRU,147,None,8504,1523,-0.056249999999999994,0.44375
Big Cat,123276343,2020-01-05 03:07:15,True Life - I spend real money on stupid iPhone games,82,None,915916,2772,-0.0833333333333333,0.65
KEEM 🍿,872683897,2020-01-05 01:26:17,My @keemstar account is NOT working at all on iphone. But my other twitter accounts work on iphone?  Why is this ha... https://t.co/2oXLv2KzpF,39,None,2811923,382,-0.125,0.375
Betsy Woodruff Swan,118245138,2019-12-30 23:26:39,"New: Lev Parnas is seeking permission to share a bunch of new material with House Intel, including the contents of... https://t.co/LdA5ueSdX8",6818,None,166552,6047,0.13636363636363635,0.45454545454545453
tolu ogunlesi,23584333,2020-01-03 15:42:31,"In 2017, vascular surgeon John Martin, while testing the ultrasound device (he'd just joined the manufacturer as ch... https://t.co/Vxl1KkmfIX",22,None,540362,2365,0.0,0.0
tolu ogunlesi,23584333,2020-01-03 15:34:28,"""The device is cleared for 13 different clinical use cases, including fetal, abdominal, cardiac, gynecological, uro... https://t.co/8KVRsQoIMj",26,None,540362,2365,-0.025,0.3
Matt Haig,35270579,2019-12-31 19:58:52,You don't need a new you. You don't need replacing every year like another iPhone. Don't throw yourself away like a... https://t.co/PZV3eQkPs6,3955,None,366627,9099,0.13636363636363635,0.45454545454545453
Tech Insider,3224616765,2020-01-03 05:44:00,The Google Pixel 3 is better than the iPhone XS https://t.co/rT1xGoX3D6,72,None,283433,424,0.5,0.5
Helen Clark,191849753,2020-01-03 09:11:55,"Chilling @julianborger account of how major US security decisions are now taken: ""Over past 3 years, national secur... https://t.co/3N9Yyrsxn1",27,None,202704,5018,-0.22916666666666666,0.5499999999999999
Adam Klasfeld,60506242,2019-12-30 23:58:30,Lev Parnas wants a judge to let him start sharing information with Congress that prosecutors plan to give him back... https://t.co/tZKSPZkmnx,550,None,120324,2858,0.1,0.05
Matt Watson,164903181,2019-12-29 05:20:45,"my iphone automatically made this, not sure how it knew we were seeing tim allen https://t.co/funohUGxY3",314,None,279933,745,-0.25,0.8888888888888888
Supergiant Games,115216851,2019-12-30 17:29:18,"Got a new iPhone or iPad for the holidays? There's still time to get our award-winning first game, Bastion, absolut... https://t.co/YpAVA9B56K",241,None,207353,35,-0.0045454545454545565,0.395959595959596
Bradley P. Moss,373522445,2019-12-30 23:38:44,Anyone want to take bets on what is on that iPhone? https://t.co/VMWWYlXwgp,262,None,92464,820,0.0,0.0
Jonah Green,53654843,2020-01-01 18:16:10,In 2020 we're not going to feel uncomfortable asking friends to take pics of us and we're ONLY asking friends with iPhone 11s,165,None,128180,518,-0.25,1.0
RΛMIN NΛSIBOV,36889519,2019-12-28 17:31:02,iPhone 11 https://t.co/oey5Ux1Rnx,192,None,700391,532655,0.0,0.0
WIRED,1344951,2020-01-03 01:50:01,"Your iPhone and what you do on it is being tracked more than you know. With the tap of a button, this new app will... https://t.co/79gMcTt1Xy",62,None,10414083,376,0.3181818181818182,0.4772727272727273
CNN,759251,2019-12-31 02:15:03,Indicted Rudy Giuliani associate Lev Parnas' attorney is asking a federal judge for permission to share some inform... https://t.co/h7ddnqK8A0,317,None,44056525,1106,0.0,0.0
Tech Insider,3224616765,2020-01-02 18:44:00,23 useful iPhone tricks to make your life easier https://t.co/AMWzLCWgg8,179,None,283433,424,0.3,0.0
